partition,client_id,mean_effective_lambda,observations,mean_reliability,mean_prediction_entropy
iid,64,0.7672385834503643,2,0.7696173957415989,0.9782464552004824
iid,65,0.7863217231801255,3,0.7883979593004499,0.9805103279140038
iid,66,0.8136052644226686,2,0.8154843960489546,0.9824579797527524
iid,67,0.7436493050498206,2,0.7459785086768014,0.9780416081589678
iid,69,0.8637849367920982,4,0.8664115731205259,0.978510723722494
iid,70,0.7812045487056246,1,0.7837185604231698,0.9775732122821396
iid,71,0.7470607249819194,2,0.7496370502880642,0.976472808483996
iid,72,0.7442036089218731,2,0.7461971896035331,0.980416660024209
iid,73,0.7547426539869265,3,0.7570828653517223,0.9781589981788729
iid,74,0.823661427873144,6,0.8259721682185219,0.9796795537362785
iid,75,0.7875872165593241,2,0.7901096556867873,0.9776829836462729
iid,76,0.7875521916263715,5,0.7902044892311096,0.9768585464982456
iid,77,0.8071841376376979,6,0.8097100641046251,0.9781153970654969
iid,78,0.8224206903761817,3,0.8249551767394657,0.9783004542872072
iid,79,0.8164717324651379,3,0.8193786342938741,0.9759522156191623
iid,80,0.7704918833847477,3,0.7723334914162044,0.9818955652280544
iid,81,0.8469824161151663,5,0.8492499606949941,0.9803552937416351
iid,82,0.7472003455963944,1,0.749507052557809,0.978227530360713
iid,83,0.835385411447084,3,0.83788191704523,0.9787354417199216
iid,84,0.7610197709701794,3,0.7633293554896401,0.9784980522533179
iid,85,0.8102589431038308,2,0.8130665123462677,0.976386018511779
iid,86,0.8107127100478152,4,0.8129140606948309,0.9802053341927602
iid,87,0.7771520017829461,2,0.7792600393295288,0.9801690574113466
iid,88,0.7814371381489762,3,0.783878749325162,0.9780688975204609
iid,89,0.76960511518833,1,0.7718327215739659,0.9792146777724946
iid,90,0.7734998414110322,3,0.7761089148975554,0.9768188873298941
iid,91,0.7527899334537735,2,0.7544024246079581,0.9834295688064361
iid,92,0.8105333335559068,6,0.8135961138066792,0.9750640692051572
iid,93,0.7592517782098825,4,0.7618034843887602,0.9768858521375012
iid,94,0.7754725625705303,4,0.7778135899986539,0.9785734630962729
iid,95,0.7771336020339293,3,0.7789672187396458,0.9821883799959727
iid,96,0.776186272968709,4,0.7785913688795907,0.978194776894288
iid,97,0.7199351117779234,2,0.7221869656017849,0.9780950276714117
iid,98,0.8068714648258271,5,0.8096848334584917,0.9763847539575672
iid,99,0.844079758648216,4,0.8466853541987284,0.9782380661993378
